epoch,accuracy,loss,lr
0,0.6666666865348816,1.687088966369629,1e-04
1,0.5833333134651184,0.7014109492301941,1e-04
2,0.7291666865348816,0.6718383431434631,1e-04
3,0.7708333134651184,0.5508635640144348,1e-04
4,0.8958333134651184,0.4103376865386963,1e-04
5,0.8958333134651184,0.2307358980178833,1e-04
6,0.875,0.31962311267852783,1e-04
7,0.9791666865348816,0.12108874320983887,1e-04
8,0.9375,0.24216003715991974,1e-04
9,0.9166666865348816,0.39662572741508484,1e-04
10,0.9791666865348816,0.17545993626117706,1e-04
11,0.9375,0.48924770951271057,1e-04
12,0.8333333134651184,0.3208238482475281,1e-04
13,0.9791666865348816,0.12862831354141235,1e-04
14,1.0,0.051198165863752365,1e-04
15,0.9375,0.07450968027114868,1e-04
16,0.9375,0.19604389369487762,1e-04
17,0.9791666865348816,0.04414184391498566,1e-04
18,0.9791666865348816,0.045099999755620956,1e-04
19,0.9375,0.21076594293117523,1e-04
20,0.9583333134651184,0.16946811974048615,1e-04
21,0.9583333134651184,0.2276868373155594,1e-04
22,1.0,0.06679544597864151,1e-04
23,0.9375,0.17544478178024292,1e-04
24,0.9375,0.25730618834495544,1e-04
25,0.9375,0.1396350860595703,1e-04
26,0.9375,0.1293286830186844,1e-04
27,0.9583333134651184,0.0850653126835823,1e-04
28,1.0,0.02418670803308487,1e-04
29,0.9791666865348816,0.022010793909430504,1e-04
30,1.0,0.0003776152152568102,1e-04
31,1.0,0.00026501473621465266,1e-04
32,0.9791666865348816,0.05459194257855415,1e-04
33,0.9791666865348816,0.1003151461482048,1e-04
34,1.0,0.01758243702352047,1e-04
35,0.9583333134651184,0.11082088947296143,1e-04
36,0.9375,0.11892441660165787,1e-04
37,1.0,0.021290622651576996,1e-04
38,0.9791666865348816,0.037114210426807404,1e-04
39,1.0,0.00438888231292367,1e-04
40,0.9791666865348816,0.0713372528553009,1e-04
41,0.9375,0.3301713168621063,1e-04
42,1.0,0.009443162940442562,1e-04
43,0.9375,0.3600805103778839,1e-04
44,0.9166666865348816,0.27430588006973267,1e-04
45,0.8958333134651184,0.2019803673028946,1e-04
46,1.0,0.06040506437420845,1e-04
47,0.9583333134651184,0.09282234311103821,1e-04
48,1.0,0.03401686251163483,1e-04
49,1.0,0.002945278538390994,1e-04
50,1.0,0.0031948715914040804,1e-04
51,1.0,0.00182337558362633,1e-04
52,1.0,0.0026340160984545946,1e-04
53,0.9791666865348816,0.21894675493240356,1e-04
54,0.8958333134651184,0.7901284098625183,1e-04
55,0.9166666865348816,0.1340564638376236,1e-04
56,0.8333333134651184,0.3756530284881592,1e-04
57,0.9583333134651184,0.2801709771156311,1e-04
58,0.9375,0.18947438895702362,1e-04
59,0.9583333134651184,0.06116408482193947,1e-04
60,0.8333333134651184,1.0433323383331299,1e-04
61,0.6666666865348816,0.6256060004234314,1e-04
62,0.7291666865348816,0.6213168501853943,1e-04
63,0.7083333134651184,0.6128231883049011,1e-04
64,0.8125,0.47120335698127747,1e-04
65,0.9166666865348816,0.3088025450706482,1e-04
66,0.8958333134651184,0.22580313682556152,1e-04
67,0.9375,0.17335198819637299,1e-04
68,0.9583333134651184,0.09093453735113144,1e-04
69,0.9375,0.09839128702878952,1e-04
70,0.9375,0.2044060379266739,1e-04
71,0.875,0.4868220388889313,1e-04
72,0.9791666865348816,0.08952310681343079,1e-04
73,0.9375,0.1369202882051468,1e-04
74,0.9791666865348816,0.0987480878829956,1e-04
75,1.0,0.007783557754009962,1e-04
76,0.9791666865348816,0.060792963951826096,1e-04
77,0.9583333134651184,0.5211696624755859,1e-04
78,0.9583333134651184,0.10686447471380234,1e-04
79,0.9791666865348816,0.10952544957399368,1e-04
80,0.9791666865348816,0.10520438104867935,1e-04
81,0.9791666865348816,0.40183112025260925,1e-04
82,0.9583333134651184,0.08164864033460617,1e-04
83,0.9375,0.167069673538208,1e-04
84,1.0,0.03869333490729332,1e-04
85,0.9791666865348816,0.053580671548843384,1e-04
86,0.9583333134651184,0.11696510761976242,1e-04
87,1.0,0.006373327691107988,1e-04
88,1.0,0.0058509609661996365,1e-04
89,1.0,0.012497694231569767,1e-04
90,0.9791666865348816,0.03439899533987045,1e-04
91,1.0,0.016528738662600517,1e-04
92,1.0,0.022786945104599,1e-04
93,1.0,0.005242555867880583,1e-04
94,0.9791666865348816,0.03137729689478874,1e-04
95,0.9791666865348816,0.02055548131465912,1e-04
96,1.0,0.0006097303121350706,1e-04
97,0.9791666865348816,0.055210426449775696,1e-04
98,0.9791666865348816,0.13778389990329742,1e-04
99,1.0,0.0003943867050111294,1e-04
